# H0=6.9330e+01 Om0=2.8800e-01 Ob0=4.7200e-02 Ol0=7.1200e-01 | N=2000
# redshift scafa dcom[Mpc] vcom[Mpc3] tlook[Myr] efunc
3.37492505e-05 9.99966252e-01 1.45935338e-01 1.30187718e-02 4.75969381e-01 1.00001458e+00
3.40616854e-05 9.99965939e-01 1.47286330e-01 1.33836919e-02 4.80375577e-01 1.00001472e+00
3.43770127e-05 9.99965624e-01 1.48649828e-01 1.37588408e-02 4.84822562e-01 1.00001485e+00
3.46952591e-05 9.99965306e-01 1.50025949e-01 1.41445052e-02 4.89310713e-01 1.00001499e+00
3.50164517e-05 9.99964985e-01 1.51414809e-01 1.45409798e-02 4.93840411e-01 1.00001513e+00
3.53406178e-05 9.99964661e-01 1.52816527e-01 1.49485677e-02 4.98412041e-01 1.00001527e+00
3.56677848e-05 9.99964333e-01 1.54231220e-01 1.53675804e-02 5.03025991e-01 1.00001541e+00
3.59979806e-05 9.99964003e-01 1.55659010e-01 1.57983381e-02 5.07682652e-01 1.00001555e+00
3.63312332e-05 9.99963670e-01 1.57100018e-01 1.62411700e-02 5.12382420e-01 1.00001570e+00
3.66675710e-05 9.99963334e-01 1.58554366e-01 1.66964146e-02 5.17125694e-01 1.00001584e+00
3.70070223e-05 9.99962994e-01 1.60022177e-01 1.71644198e-02 5.21912877e-01 1.00001599e+00
3.73496162e-05 9.99962652e-01 1.61503576e-01 1.76455433e-02 5.26744376e-01 1.00001614e+00
3.76953816e-05 9.99962306e-01 1.62998689e-01 1.81401528e-02 5.31620599e-01 1.00001628e+00
3.80443480e-05 9.99961957e-01 1.64507643e-01 1.86486263e-02 5.36541962e-01 1.00001644e+00
3.83965449e-05 9.99961605e-01 1.66030565e-01 1.91713524e-02 5.41508882e-01 1.00001659e+00
3.87520023e-05 9.99961249e-01 1.67567587e-01 1.97087306e-02 5.46521781e-01 1.00001674e+00
3.91107503e-05 9.99960891e-01 1.69118836e-01 2.02611716e-02 5.51581085e-01 1.00001690e+00
3.94728195e-05 9.99960529e-01 1.70684447e-01 2.08290976e-02 5.56687222e-01 1.00001705e+00
3.98382406e-05 9.99960163e-01 1.72264551e-01 2.14129428e-02 5.61840627e-01 1.00001721e+00
4.02070445e-05 9.99959795e-01 1.73859282e-01 2.20131532e-02 5.67041737e-01 1.00001737e+00
4.05792627e-05 9.99959422e-01 1.75468777e-01 2.26301876e-02 5.72290994e-01 1.00001753e+00
4.09549267e-05 9.99959047e-01 1.77093171e-01 2.32645176e-02 5.77588844e-01 1.00001769e+00
4.13340684e-05 9.99958668e-01 1.78732603e-01 2.39166279e-02 5.82935735e-01 1.00001786e+00
4.17167201e-05 9.99958285e-01 1.80387211e-01 2.45870171e-02 5.88332122e-01 1.00001802e+00
4.21029141e-05 9.99957899e-01 1.82057137e-01 2.52761973e-02 5.93778464e-01 1.00001819e+00
4.24926834e-05 9.99957509e-01 1.83742522e-01 2.59846954e-02 5.99275223e-01 1.00001836e+00
4.28860609e-05 9.99957116e-01 1.85443510e-01 2.67130528e-02 6.04822864e-01 1.00001853e+00
4.32830802e-05 9.99956719e-01 1.87160243e-01 2.74618262e-02 6.10421860e-01 1.00001870e+00
4.36837749e-05 9.99956318e-01 1.88892870e-01 2.82315878e-02 6.16072686e-01 1.00001887e+00
